N,Instruction,LOCK,SET -REX,SEGMENT,MEM_XCHG,p0156,p06,p23,p237,p4,p1,p15,p015,p5,p0,p05,p01,p6,Min Latency,Max Latency
295,CMOVNP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
297,CMOVNS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
299,CMOVNS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
301,CMOVNS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
303,CMOVNZ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
305,CMOVNZ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
307,CMOVNZ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
309,CMOVO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
311,CMOVO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
313,CMOVO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
315,CMOVP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
317,CMOVP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
319,CMOVP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
321,CMOVS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
323,CMOVS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
325,CMOVS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
327,CMOVZ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
329,CMOVZ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
331,CMOVZ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
332,CMP,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
333,CMP,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
334,CMP,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
345,CMP,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
346,CMP,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
348,CMP,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
349,CMP,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
351,CMP,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
352,CMP,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
354,CMP,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
355,CMP_39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
356,CMP_39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
357,CMP_39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
358,CMP_3B,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
359,CMP_3B,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
360,CMP_3B,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
362,CMP_NOREX,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
364,CMP_NOREX_38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
365,CMP_NOREX_3A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
367,CMP_REX,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
369,CMP_REX_38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
370,CMP_REX_3A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
391,CWD,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2
392,CWDE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
397,DEC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
398,DEC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
399,DEC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
404,DEC_NOREX,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
405,DEC_REX,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
434,IMUL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3
435,IMUL,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,4,4
